网络,源,目的,接口,信号,当前分配,状态,备注
CAM_DATA,OV5640,ESP32-S3-MINI-1U-N4R2,DVP,D0~D7/PCLK/HREF/VSYNC,TBD,P0待分配,使用LCD_CAM
CAM_XCLK,ESP32-S3-MINI-1U-N4R2,OV5640,Clock,XCLK,TBD,P0待分配,需满足Camera时钟要求
CAM_CTRL,ESP32-S3-MINI-1U-N4R2,OV5640,SCCB/I2C,SDA/SCL,TBD,P0待分配,优先保持独立逻辑域
CAM_GPIO,ESP32-S3-MINI-1U-N4R2,OV5640,GPIO,RESET/PWDN,TBD,P1待确认,按最终模组电平与需求确认
MIC_I2S,ICS-43434,ESP32-S3-MINI-1U-N4R2,I2S RX,BCLK/WS/SD,TBD,P0待分配,当前V1 MIC基线
AUDIO_I2S,ESP32-S3-MINI-1U-N4R2,MAX98357A,I2S TX,BCLK/LRCLK/DATA,TBD,P0待分配,单声道输出
BONE_LEFT,MAX98357A,Bone LEFT,BTL Audio,SPK+/SPK-,固定拓扑,P0必须实现,8Ω；与RIGHT并联；禁止接GND
BONE_RIGHT,MAX98357A,Bone RIGHT,BTL Audio,SPK+/SPK-,固定拓扑,P0必须实现,8Ω；与LEFT并联；禁止接GND
BMI_I2C,ESP32-S3-MINI-1U-N4R2,BMI270,I2C,SDA/SCL,TBD,P0待分配,BMI地址0x68
BMI_INT,BMI270,ESP32-S3-MINI-1U-N4R2,GPIO IRQ,INT1,TBD,P1必须保留,跌倒/事件检测
HAPTIC_LEFT_CTRL,ESP32-S3-MINI-1U-N4R2,DRV2605L LEFT,I2C或隔离I2C,SDA/SCL,TBD,P0架构待定,DRV地址0x5A；必须与RIGHT可独立访问
HAPTIC_RIGHT_CTRL,ESP32-S3-MINI-1U-N4R2,DRV2605L RIGHT,I2C或隔离I2C,SDA/SCL,TBD,P0架构待定,DRV地址0x5A；必须与LEFT可独立访问
HAPTIC_LEFT_OUT,DRV2605L LEFT,LRA LEFT,Differential,OUT+/OUT-,固定拓扑,P0必须实现,连接J_LRA_LEFT或等效焊盘
HAPTIC_RIGHT_OUT,DRV2605L RIGHT,LRA RIGHT,Differential,OUT+/OUT-,固定拓扑,P0必须实现,连接J_LRA_RIGHT或等效焊盘
USB_DATA,4Pin磁吸接口,ESP32-S3-MINI-1U-N4R2,USB FS,D+/D-,固定USB能力,P0必须保留,Native USB烧录/日志/数据
USB_VBUS,4Pin磁吸接口,充电/系统,Power,5V/GND,固定接口,P0必须实现,同时承担充电输入
AMP_EN,ESP32-S3-MINI-1U-N4R2,MAX98357A,GPIO,EN/SD,TBD,P1按最终原理图,用于静音/低功耗
DEBUG_EN,TP_EN,ESP32-S3-MINI-1U-N4R2,Recovery,EN,专用,P1必须实现,开发恢复
DEBUG_BOOT,TP_BOOT,ESP32-S3-MINI-1U-N4R2,Recovery,BOOT/DOWNLOAD,Strapping,P1必须实现,开发恢复
DEBUG_UART,TP_UART_TX/RX,ESP32-S3-MINI-1U-N4R2,UART,TX/RX,TBD,P1推荐,USB异常时恢复/日志
TP_POWER,TP_GND/TP_3V3,系统,Test Point,GND/3V3,固定,P1必须实现,开发阶段最小测试点
SPARE,ESP32-S3-MINI-1U-N4R2,预留,GPIO,合理余量,TBD,P0完成Pin Matrix后检查,不再预设固定5路而忽略实际资源
